name	group	first_activity	last_activity	api_requests	bash:doctor	bash:gh	bash:git:fetch	bash:git:mutate	bash:git:push	bash:git:read	bash:script	bash:shell:other	bash:shell:read	bash:syntax-check	bash:test:full	bash:test:targeted	bash_bytes	bash_calls	edit_calls	edit_outside_repo	edit_unique_files	gh_from_scripts_lower_bound	gh_head_dependent_fetches	gh_invocations_lower_bound	gh_other_fetches	gh_repeated_endpoints	gh_stable_fact_fetches	gh_unique_endpoints	paths_all_repeated	paths_all_unique	read_bytes	read_calls	read_repeated	read_repo_bytes	read_repo_calls	read_task_output_bytes	read_task_output_calls	read_tool_repeated	read_tool_unique_paths	read_unique_files	result_bytes	shell_read_bytes	subagents	tok_cache_create	tok_cache_read	tok_input	tok_output	tool_calls
B r22 e5dcf55 CHANGES REQUIRED	B	2026-09-05T20:34:30.304Z	2026-09-05T20:44:26.740Z	33	1	2	0	0	0	0	1	2	2	1	2	4	4658	15	6	0	2	0	1	2	1	0	0	2	4	4	847	8	4	0	0	847	8	4	4	4	6979	724	0	20409	26719064	66	13618	29
B r23 4253779 CHANGES REQUIRED	B	2026-09-05T20:44:42.860Z	2026-09-05T20:54:28.088Z	26	1	2	0	0	0	0	1	2	1	1	1	5	4204	14	6	0	2	0	1	2	1	0	0	2	1	2	332	3	1	0	0	332	3	1	2	2	5738	78	0	23438	21603587	52	13695	23
B r24 0ef7d36 CHANGES REQUIRED	B	2026-09-05T20:54:42.334Z	2026-09-05T21:04:57.982Z	29	1	2	0	0	0	0	1	1	2	0	1	11	4858	19	2	0	2	0	1	2	1	0	0	2	1	4	414	4	1	0	0	414	4	1	3	4	5831	155	0	26944	24837263	58	12964	26
B r25 fb2accf CHANGES REQUIRED	B	2026-09-05T21:05:12.615Z	2026-09-05T21:15:14.709Z	33	1	1	0	0	0	0	1	4	2	0	2	7	9718	18	4	0	2	0	1	1	0	0	0	1	1	5	629	5	1	0	0	629	5	1	4	5	11855	967	0	25561	29172505	66	13376	30
B r26 1bb345c CHANGES REQUIRED	B	2026-09-05T21:15:29.231Z	2026-09-05T21:25:47.847Z	30	1	2	0	0	2	0	1	3	2	2	2	0	5094	15	2	0	1	0	1	2	1	0	0	2	2	4	576	6	2	0	0	576	6	2	4	4	6394	726	0	17701	27152276	60	11263	25
B r27 02d88c7 CHANGES REQUIRED	B	2026-09-05T21:26:04.396Z	2026-09-05T21:34:40.319Z	15	1	1	0	0	0	0	1	1	1	1	1	2	2991	9	0	0	0	0	1	1	0	0	0	1	0	3	291	3	0	0	0	291	3	0	3	3	3426	78	0	9571	13779425	30	6358	13
B r28 143bd9c CHANGES REQUIRED	B	2026-09-05T21:34:54.752Z	2026-09-05T21:41:06.504Z	18	1	1	0	0	1	0	1	1	3	1	1	0	3799	10	0	0	0	0	1	1	0	0	0	1	1	4	360	3	1	0	0	360	3	0	3	4	4600	809	0	13105	16742604	36	8681	16
B r29 7da4311 CHANGES REQUIRED	B	2026-09-05T21:41:21.465Z	2026-09-05T21:50:02.136Z	24	1	1	0	0	0	0	1	2	2	1	3	2	3981	13	0	0	0	0	1	1	0	0	0	1	2	5	974	6	2	0	0	974	6	2	4	5	5243	237	0	13187	22657998	48	8381	21
B r30 8718432 CHANGES REQUIRED	B	2026-09-05T21:50:16.801Z	2026-09-05T22:01:43.634Z	44	1	3	2	2	1	1	1	3	5	1	1	10	16441	31	2	0	1	0	1	3	2	0	0	3	2	2	245	2	2	0	0	245	2	1	1	2	18088	1142	0	87667	24214687	88	16319	41
B r31 fba8de3 CHANGES REQUIRED	B	2026-09-05T22:01:47.701Z	2026-09-05T22:15:18.657Z	43	0	5	1	2	1	0	1	2	14	2	1	0	19959	29	5	1	2	0	1	5	4	1	0	4	5	2	0	0	5	0	0	0	0	0	0	2	21627	13544	0	30283	3773708	86	17707	39
B r32 cdc04a5 PASS	B	2026-09-05T22:15:47.459Z	2026-09-05T22:23:17.057Z	16	0	1	1	1	1	0	0	0	2	1	0	1	3240	8	4	0	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	4466	1948	0	12117	1730887	32	7011	15
B post-PASS → merge	B	2026-09-05T22:23:41.760Z	2026-09-05T22:32:22.950Z	20	0	9	1	0	0	0	0	0	3	0	1	0	13633	14	0	0	0	0	1	11	10	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	14223	496	0	16971	2453702	40	11143	17
A r1 f8c825d CHANGES REQUIRED	A	2026-09-05T22:37:44.964Z	2026-09-05T22:55:25.391Z	77	3	7	1	4	2	0	4	4	6	2	0	15	46197	48	14	0	9	0	0	7	7	1	0	6	1	8	6058	2	1	6058	2	0	0	0	2	8	57643	6828	1	94015	14472337	154	54837	75
A r2 073fbd7 CHANGES REQUIRED	A	2026-09-05T22:55:39.853Z	2026-09-05T23:00:42.483Z	25	2	1	0	1	1	0	0	1	5	0	0	1	5791	12	9	0	2	0	0	1	1	0	0	1	5	2	4233	2	5	4233	2	0	0	1	1	2	12049	609	0	17781	5927804	50	11365	24
A r3 3735edd CHANGES REQUIRED	A	2026-09-05T23:01:06.243Z	2026-09-05T23:05:16.707Z	21	0	3	0	0	1	0	1	0	0	0	0	3	3929	8	9	0	5	0	1	4	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6245	0	0	16411	5352736	42	12983	20
A r4 c1ed999 CHANGES REQUIRED	A	2026-09-05T23:05:42.234Z	2026-09-05T23:15:15.104Z	41	1	7	0	0	1	0	1	1	5	0	0	4	9461	20	11	0	3	2	3	12	9	7	0	5	2	2	732	1	2	732	1	0	0	0	1	2	13488	2202	0	38960	11585324	82	26181	39
A r5 2abdd5e CHANGES REQUIRED	A	2026-09-05T23:15:44.472Z	2026-09-05T23:22:38.986Z	25	1	7	0	0	1	0	3	0	1	0	0	2	7850	15	4	0	2	5	1	16	6	7	9	9	0	2	0	0	0	0	0	0	0	0	0	2	9532	58	0	23830	7876763	50	18451	24
A r6 bc1f5ff CHANGES REQUIRED	A	2026-09-05T23:23:09.591Z	2026-09-05T23:32:00.478Z	26	0	3	0	0	0	0	2	1	3	1	0	5	6361	15	2	0	1	0	1	4	3	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	8680	1053	1	31964	8904783	52	23385	23
A r7 a1f6174 CHANGES REQUIRED	A	2026-09-05T23:32:25.422Z	2026-09-05T23:54:04.208Z	36	0	3	0	1	1	0	2	1	4	2	0	6	13471	20	2	0	2	0	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	15559	4168	0	86416	14656661	72	74490	33
A r8 eedd339 CHANGES REQUIRED	A	2026-09-05T23:54:30.361Z	2026-09-06T00:19:34.820Z	57	1	7	0	0	1	0	1	4	10	4	0	10	22795	38	0	0	0	5	1	15	11	7	3	8	1	2	0	0	1	0	0	0	0	0	0	2	26276	6089	1	126775	29223384	114	94709	56
A r9 6e9206e CHANGES REQUIRED	A	2026-09-06T00:20:12.826Z	2026-09-06T00:32:52.975Z	27	0	4	0	0	1	0	1	0	5	1	0	5	11495	17	0	0	0	0	1	5	4	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	12498	2720	0	37951	16091179	54	31824	24
A r10 cd3eafd CHANGES REQUIRED	A	2026-09-06T00:33:13.696Z	2026-09-06T14:43:14.363Z	69	1	3	1	1	1	1	0	1	15	2	0	18	69770	44	14	0	4	0	1	3	2	0	0	3	10	7	4008	5	10	0	0	4008	5	4	1	7	77511	38324	0	192018	11783640	138	79652	68
A r11 549a709 CHANGES REQUIRED	A	2026-09-06T14:43:38.243Z	2026-09-06T15:03:16.974Z	27	0	4	0	1	1	0	1	0	1	0	0	7	8813	15	10	0	3	0	2	4	2	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	11316	245	0	36349	5502673	54	24599	27
A r12 f4ebacc CHANGES REQUIRED	A	2026-09-06T15:03:29.194Z	2026-09-06T15:13:56.189Z	37	0	13	0	1	1	0	0	1	1	0	0	4	8953	21	8	0	3	0	14	17	3	10	0	7	1	2	239	2	1	0	0	239	2	1	1	2	11145	140	0	32228	8794144	74	26539	33
A r13 d47d0e8 CHANGES REQUIRED	A	2026-09-06T15:14:07.340Z	2026-09-06T15:27:53.579Z	29	0	4	0	0	1	0	1	3	1	0	0	9	6695	19	5	0	2	0	3	6	3	2	0	4	0	1	87	1	0	0	0	87	1	0	1	1	8230	819	0	31705	7893312	58	27436	27
A r14 ee6cf2a CHANGES REQUIRED	A	2026-09-06T15:28:27.311Z	2026-09-06T15:35:35.639Z	17	0	5	1	0	1	0	0	1	0	0	0	4	4219	12	1	0	1	0	3	8	5	3	0	5	0	1	152	1	0	0	0	152	1	0	1	1	4860	0	0	15961	5055654	34	11378	15
A r15 34b136b CHANGES REQUIRED	A	2026-09-06T15:36:01.749Z	2026-09-06T15:50:09.525Z	24	1	3	0	0	1	0	1	1	2	3	0	8	8017	20	0	0	0	0	2	3	1	1	0	2	1	2	152	1	1	0	0	152	1	0	1	2	8312	1938	0	35990	7741238	48	27823	22
A r16 e3ced28 CHANGES REQUIRED	A	2026-09-06T15:50:41.411Z	2026-09-06T16:00:36.082Z	20	0	2	0	0	1	0	0	1	5	1	0	8	7345	18	0	0	0	0	1	2	1	0	0	2	2	5	152	1	2	0	0	152	1	0	1	5	7497	2548	0	17904	7032092	40	13420	19
